date,symbol,interval,open,high,low,close,volume,PCH,PCL,LLPC,HHPC
1994-11-07,HDFC.NS,D,2.67,2.67,2.6510000000000002,2.6510000000000002,19999.99911,,,,
1994-11-08,HDFC.NS,D,2.75,2.775,2.75,2.775,69999.99687,,,,
1994-11-10,HDFC.NS,D,2.8,2.8,2.8,2.8,9999.999553,,,,
1994-11-11,HDFC.NS,D,2.75,2.775,2.75,2.7675,39999.998210000005,,,,
1994-11-14,HDFC.NS,D,2.75,2.76,2.75,2.76,19999.99911,,,,
1994-11-16,HDFC.NS,D,2.775,2.775,2.775,2.775,9999.999553,2.8,2.6510000000000002,,
1994-11-23,HDFC.NS,D,2.675,2.675,2.675,2.675,9999.999553,2.8,2.75,,
1994-11-24,HDFC.NS,D,2.7,2.71,2.7,2.71,19999.99911,2.8,2.675,,
1994-11-25,HDFC.NS,D,2.67,2.7,2.67,2.69275,59999.99732,2.775,2.675,,
1994-11-29,HDFC.NS,D,2.675,2.675,2.675,2.675,9999.999553,2.775,2.67,,
1994-11-30,HDFC.NS,D,2.725,2.7975,2.725,2.772,269999.9879,2.775,2.67,2.67,
1994-12-01,HDFC.NS,D,2.725,2.725,2.725,2.725,19999.99911,2.7975,2.67,2.67,
1994-12-02,HDFC.NS,D,2.725,2.725,2.7239999999999998,2.7239999999999998,39999.998210000005,2.7975,2.67,2.67,
1994-12-05,HDFC.NS,D,2.725,2.725,2.675,2.675,519999.9768,2.7975,2.67,2.67,
1994-12-06,HDFC.NS,D,2.645,2.675,2.645,2.67,239999.9893,2.7975,2.675,2.67,2.7975
1994-12-07,HDFC.NS,D,2.6,2.6,2.6,2.6,1009999.955,2.7975,2.645,2.67,2.7975
1994-12-08,HDFC.NS,D,2.5,2.5,2.475,2.475,19999.99911,2.725,2.6,2.67,2.7975
1994-12-09,HDFC.NS,D,2.5,2.5,2.5,2.5,29999.99866,2.725,2.475,2.67,2.7975
1994-12-12,HDFC.NS,D,2.475,2.475,2.4,2.42525,39999.998210000005,2.725,2.475,2.67,2.7975
1994-12-13,HDFC.NS,D,2.4,2.4,2.342,2.3480000000000003,79999.99642000001,2.675,2.4,2.67,2.7975
1994-12-14,HDFC.NS,D,2.39,2.41,2.39,2.41,69999.99687,2.6,2.342,2.67,2.7975
1994-12-15,HDFC.NS,D,2.425,2.45,2.425,2.445,39999.998210000005,2.5,2.342,2.67,2.7975
1994-12-16,HDFC.NS,D,2.5,2.5,2.5,2.5,29999.99866,2.5,2.342,2.67,2.7975
1994-12-19,HDFC.NS,D,2.55,2.575,2.55,2.555,69999.99687,2.5,2.342,2.342,2.7975
1994-12-20,HDFC.NS,D,2.575,2.597,2.55,2.55,7529999.663,2.575,2.342,2.342,2.7975
1994-12-21,HDFC.NS,D,2.57,2.575,2.57,2.57175,2529999.887,2.597,2.39,2.342,2.7975
1994-12-22,HDFC.NS,D,2.525,2.525,2.513,2.513,19999.99911,2.597,2.425,2.342,2.7975
1994-12-23,HDFC.NS,D,2.5,2.54,2.5,2.54,109999.9951,2.597,2.5,2.342,2.7975
1994-12-26,HDFC.NS,D,2.54,2.55,2.54,2.55,39999.998210000005,2.597,2.5,2.342,2.7975
1994-12-27,HDFC.NS,D,2.58,2.58,2.58,2.58,19999.99911,2.597,2.5,2.342,2.7975
1994-12-28,HDFC.NS,D,2.56,2.57,2.535,2.57,1019999.954,2.58,2.5,2.342,2.7975
1994-12-30,HDFC.NS,D,2.57,2.575,2.57,2.5722,29999.99866,2.58,2.5,2.342,2.7975
1995-01-02,HDFC.NS,D,2.55,2.58,2.55,2.575,389999.9826,2.58,2.5,2.342,2.7975
1995-01-03,HDFC.NS,D,2.525,2.525,2.475,2.475,119999.9946,2.58,2.535,2.342,2.58
1995-01-04,HDFC.NS,D,2.51,2.51,2.476,2.476,519999.9768,2.58,2.475,2.342,2.58
1995-01-05,HDFC.NS,D,2.455,2.455,2.455,2.455,49999.99777,2.58,2.475,2.342,2.58
1995-01-06,HDFC.NS,D,2.44,2.44,2.4,2.4,69999.99687,2.58,2.455,2.342,2.58
1995-01-09,HDFC.NS,D,2.375,2.375,2.3,2.325,109999.9951,2.58,2.4,2.342,2.58
1995-01-10,HDFC.NS,D,2.275,2.275,2.15,2.2125,439999.9803,2.525,2.3,2.342,2.58
1995-01-11,HDFC.NS,D,2.14,2.19,2.13,2.18,129999.9942,2.51,2.15,2.342,2.58
1995-01-12,HDFC.NS,D,2.2,2.2,2.15,2.175,59999.99732,2.455,2.13,2.342,2.58
1995-01-13,HDFC.NS,D,2.175,2.175,2.16,2.16,49999.99777,2.44,2.13,2.342,2.58
1995-01-16,HDFC.NS,D,2.275,2.275,2.265,2.2680000000000002,139999.9937,2.375,2.13,2.342,2.58
1995-01-17,HDFC.NS,D,2.3,2.325,2.275,2.31,169999.9924,2.275,2.13,2.13,2.58
1995-01-18,HDFC.NS,D,2.325,2.35,2.3,2.35,59999.99732,2.325,2.13,2.13,2.58
1995-01-19,HDFC.NS,D,2.35,2.36,2.325,2.3425,119999.9946,2.35,2.15,2.13,2.58
1995-01-20,HDFC.NS,D,2.375,2.4,2.325,2.335,269999.9879,2.36,2.16,2.13,2.58
1995-01-23,HDFC.NS,D,2.3,2.3,2.2,2.25,79999.99642000001,2.4,2.265,2.13,2.4
1995-01-24,HDFC.NS,D,2.2,2.2230000000000003,2.2,2.221,149999.9933,2.4,2.2,2.13,2.4
1995-01-25,HDFC.NS,D,2.225,2.24,2.2,2.205,89999.99597999999,2.4,2.2,2.13,2.4
1995-01-27,HDFC.NS,D,2.20105,2.20105,2.2,2.2,69999.99687,2.4,2.2,2.13,2.4
1995-01-30,HDFC.NS,D,2.24,2.25,2.2356,2.24975,159999.9928,2.4,2.2,2.13,2.4
